2022-08-02 10:20:19,131 {'Time': '2022-08-02T10:19:52.596896282Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '73.101.198.77', 'P_src': '80', 'P_dst': '2010', 'event': 'Dos'}
2022-08-02 10:20:19,132 {'Time': '2022-08-02T10:19:52.596838232Z', 'Protocol': 'TCP', 'Source': '198.203.194.205', 'Destination': '192.168.137.247', 'P_src': '2011', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:19,133 {'Time': '2022-08-02T10:19:52.596902732Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '198.203.194.205', 'P_src': '80', 'P_dst': '2011', 'event': 'Dos'}
2022-08-02 10:20:19,134 {'Time': '2022-08-02T10:19:52.596838277Z', 'Protocol': 'TCP', 'Source': '158.211.211.183', 'Destination': '192.168.137.247', 'P_src': '2012', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:19,135 {'Time': '2022-08-02T10:19:52.596908855Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '158.211.211.183', 'P_src': '80', 'P_dst': '2012', 'event': 'Dos'}
2022-08-02 10:20:21,171 {'Time': '2022-08-02T10:19:53.240575537Z', 'Protocol': 'TCP', 'Source': '158.50.177.117', 'Destination': '192.168.137.247', 'P_src': '5330', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:21,172 {'Time': '2022-08-02T10:19:53.240599603Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '158.50.177.117', 'P_src': '80', 'P_dst': '5330', 'event': 'Dos'}
2022-08-02 10:20:21,453 {'Time': '2022-08-02T10:19:53.684910242Z', 'Protocol': 'TCP', 'Source': '146.108.24.126', 'Destination': '192.168.137.247', 'P_src': '5775', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:22,839 {'Time': '2022-08-02T10:19:54.108179948Z', 'Protocol': 'TCP', 'Source': '77.33.254.182', 'Destination': '192.168.137.247', 'P_src': '7837', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:24,455 {'Time': '2022-08-02T10:19:54.592959003Z', 'Protocol': 'TCP', 'Source': '106.47.65.233', 'Destination': '192.168.137.247', 'P_src': '10334', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:24,456 {'Time': '2022-08-02T10:19:54.592982758Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '106.47.65.233', 'P_src': '80', 'P_dst': '10334', 'event': 'Dos'}
2022-08-02 10:20:24,457 {'Time': '2022-08-02T10:19:54.592959197Z', 'Protocol': 'TCP', 'Source': '227.150.91.89', 'Destination': '192.168.137.247', 'P_src': '10335', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:24,457 {'Time': '2022-08-02T10:19:54.592959239Z', 'Protocol': 'TCP', 'Source': '66.154.94.117', 'Destination': '192.168.137.247', 'P_src': '10336', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:25,989 {'Time': '2022-08-02T10:19:55.200429612Z', 'Protocol': 'TCP', 'Source': '39.232.37.150', 'Destination': '192.168.137.247', 'P_src': '12616', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:27,202 {'Time': '2022-08-02T10:19:55.589802800Z', 'Protocol': 'TCP', 'Source': '107.0.147.74', 'Destination': '192.168.137.247', 'P_src': '14479', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:27,203 {'Time': '2022-08-02T10:19:55.589824894Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '107.0.147.74', 'P_src': '80', 'P_dst': '14479', 'event': 'Dos'}
2022-08-02 10:20:29,170 {'Time': '2022-08-02T10:19:56.125972692Z', 'Protocol': 'TCP', 'Source': '91.242.197.111', 'Destination': '192.168.137.247', 'P_src': '17349', 'P_dst': '80', 'event': 'Dos'}
